Serial.No.	Content ID	Reaction Type	Datetime	User ID	Content Type	Category	Sentiment	Score
5508	db672f6f-2f5b-47bd-aed6-bfc22188de4d	peeking	07-05-21 15:54	c834ba1d-8a10-4984-aaf2-7c2eab207076	audio	soccer	neutral	35
5509	db672f6f-2f5b-47bd-aed6-bfc22188de4d	heart	25-08-20 18:37	c834ba1d-8a10-4984-aaf2-7c2eab207076	audio	soccer	positive	60
5510	db672f6f-2f5b-47bd-aed6-bfc22188de4d	love	06-09-20 6:38	c834ba1d-8a10-4984-aaf2-7c2eab207076	audio	soccer	positive	65
5511	db672f6f-2f5b-47bd-aed6-bfc22188de4d	super love	04-09-20 0:41	c834ba1d-8a10-4984-aaf2-7c2eab207076	audio	soccer	positive	75
5512	db672f6f-2f5b-47bd-aed6-bfc22188de4d	peeking	18-02-21 8:02	c834ba1d-8a10-4984-aaf2-7c2eab207076	audio	soccer	neutral	35
5513	037189e3-18c0-4f6c-a8cc-d6b86d679891	like	12-10-20 5:40	bbef3be1-172e-44bb-be3b-013140707ecf	GIF	food	positive	50
5514	037189e3-18c0-4f6c-a8cc-d6b86d679891	peeking	21-01-21 20:48	bbef3be1-172e-44bb-be3b-013140707ecf	GIF	food	neutral	35
5515	037189e3-18c0-4f6c-a8cc-d6b86d679891	worried	04-02-21 16:32	bbef3be1-172e-44bb-be3b-013140707ecf	GIF	food	negative	12
5516	037189e3-18c0-4f6c-a8cc-d6b86d679891	want	21-03-21 22:53	bbef3be1-172e-44bb-be3b-013140707ecf	GIF	food	positive	70
5517	909cbb46-9789-4e9d-9148-890e5c44a9e2	heart	14-09-20 21:52	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	60
5518	909cbb46-9789-4e9d-9148-890e5c44a9e2	intrigued	28-11-20 6:40	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	45
5519	909cbb46-9789-4e9d-9148-890e5c44a9e2	worried	23-11-20 16:34	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	12
5520	909cbb46-9789-4e9d-9148-890e5c44a9e2	adore	20-11-20 23:32	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	72
5521	909cbb46-9789-4e9d-9148-890e5c44a9e2	peeking	23-11-20 6:37	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	neutral	35
5522	909cbb46-9789-4e9d-9148-890e5c44a9e2	heart	25-06-20 22:20	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	60
5523	909cbb46-9789-4e9d-9148-890e5c44a9e2	cherish	08-11-20 6:48	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	70
5524	909cbb46-9789-4e9d-9148-890e5c44a9e2	heart	06-01-21 17:11	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	60
5525	909cbb46-9789-4e9d-9148-890e5c44a9e2	heart	28-09-20 5:49	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	60
5526	909cbb46-9789-4e9d-9148-890e5c44a9e2	super love	19-08-20 15:38	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	75
5527	909cbb46-9789-4e9d-9148-890e5c44a9e2	hate	10-02-21 21:04	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	5
5528	909cbb46-9789-4e9d-9148-890e5c44a9e2	dislike	18-06-20 14:34	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	10
5529	909cbb46-9789-4e9d-9148-890e5c44a9e2	super love	15-11-20 0:44	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	75
5530	909cbb46-9789-4e9d-9148-890e5c44a9e2	hate	08-12-20 10:40	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	5
5531	909cbb46-9789-4e9d-9148-890e5c44a9e2	hate	28-11-20 9:44	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	5
5532	909cbb46-9789-4e9d-9148-890e5c44a9e2	want	07-10-20 14:12	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	70
5533	909cbb46-9789-4e9d-9148-890e5c44a9e2	scared	27-06-20 13:10	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	15
5534	909cbb46-9789-4e9d-9148-890e5c44a9e2	intrigued	11-05-21 21:02	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	45
5535	909cbb46-9789-4e9d-9148-890e5c44a9e2	like	04-09-20 4:48	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	50
5536	909cbb46-9789-4e9d-9148-890e5c44a9e2	disgust	01-03-21 12:03	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	0
5537	909cbb46-9789-4e9d-9148-890e5c44a9e2	love	17-03-21 7:51	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	65
5538	909cbb46-9789-4e9d-9148-890e5c44a9e2	super love	25-07-20 17:19	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	75
5539	909cbb46-9789-4e9d-9148-890e5c44a9e2	love	11-09-20 5:52	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	65
5540	909cbb46-9789-4e9d-9148-890e5c44a9e2	disgust	10-07-20 18:40	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	0
5541	909cbb46-9789-4e9d-9148-890e5c44a9e2	love	18-11-20 10:46	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	65
5542	909cbb46-9789-4e9d-9148-890e5c44a9e2	intrigued	28-03-21 8:55	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	45
5543	909cbb46-9789-4e9d-9148-890e5c44a9e2	heart	21-05-21 7:58	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	60
5544	909cbb46-9789-4e9d-9148-890e5c44a9e2	interested	21-06-20 20:12	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	30
5545	909cbb46-9789-4e9d-9148-890e5c44a9e2	cherish	07-04-21 2:02	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	70
5546	909cbb46-9789-4e9d-9148-890e5c44a9e2	indifferent	23-09-20 10:02	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	neutral	20
5547	909cbb46-9789-4e9d-9148-890e5c44a9e2	want	06-07-20 13:03	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	70
5548	909cbb46-9789-4e9d-9148-890e5c44a9e2	indifferent	02-12-20 13:33	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	neutral	20
5549	909cbb46-9789-4e9d-9148-890e5c44a9e2	disgust	20-08-20 23:42	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	negative	0
5550	909cbb46-9789-4e9d-9148-890e5c44a9e2	like	14-09-20 19:19	80c36ce2-2cef-4a47-a563-d2a60a2b1825	audio	animals	positive	50
5551	ceba816b-72ea-4682-8795-8569a46bb1d6	cherish	01-11-20 22:36	2941011b-f214-4430-8a14-e791ed0805bb	video	dogs	positive	70
5552	ceba816b-72ea-4682-8795-8569a46bb1d6	heart	07-06-21 15:14	2941011b-f214-4430-8a14-e791ed0805bb	video	dogs	positive	60
5553	ceba816b-72ea-4682-8795-8569a46bb1d6	indifferent	24-10-20 16:30	2941011b-f214-4430-8a14-e791ed0805bb	video	dogs	neutral	20
5554	1987b43d-bcb9-4ab0-8634-ef3623928e94	peeking	24-07-20 12:15	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	neutral	35
5555	1987b43d-bcb9-4ab0-8634-ef3623928e94	cherish	28-02-21 17:31	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	70
5556	1987b43d-bcb9-4ab0-8634-ef3623928e94	super love	27-05-21 20:42	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	75
5557	1987b43d-bcb9-4ab0-8634-ef3623928e94	interested	16-02-21 9:07	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	30
5558	1987b43d-bcb9-4ab0-8634-ef3623928e94	heart	28-09-20 12:53	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	60
5559	1987b43d-bcb9-4ab0-8634-ef3623928e94	peeking	10-01-21 7:51	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	neutral	35
5560	1987b43d-bcb9-4ab0-8634-ef3623928e94	peeking	24-11-20 15:22	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	neutral	35
5561	1987b43d-bcb9-4ab0-8634-ef3623928e94	dislike	27-08-20 3:26	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	negative	10
5562	1987b43d-bcb9-4ab0-8634-ef3623928e94	love	14-05-21 3:12	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	65
5563	1987b43d-bcb9-4ab0-8634-ef3623928e94	cherish	03-03-21 2:30	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	70
5564	1987b43d-bcb9-4ab0-8634-ef3623928e94	cherish	28-10-20 21:22	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	70
5565	1987b43d-bcb9-4ab0-8634-ef3623928e94	heart	16-07-20 4:35	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	60
5566	1987b43d-bcb9-4ab0-8634-ef3623928e94	cherish	05-12-20 19:27	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	70
5567	1987b43d-bcb9-4ab0-8634-ef3623928e94	super love	28-08-20 9:36	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	75
5568	1987b43d-bcb9-4ab0-8634-ef3623928e94	adore	15-04-21 12:14	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	72
5569	1987b43d-bcb9-4ab0-8634-ef3623928e94	peeking	17-02-21 18:29	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	neutral	35
5570	1987b43d-bcb9-4ab0-8634-ef3623928e94	love	30-08-20 12:12	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	65
5571	1987b43d-bcb9-4ab0-8634-ef3623928e94	like	26-04-21 19:21	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	50
5572	1987b43d-bcb9-4ab0-8634-ef3623928e94	love	07-12-20 2:47	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	65
5573	1987b43d-bcb9-4ab0-8634-ef3623928e94	want	27-06-20 17:00	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	70
5574	1987b43d-bcb9-4ab0-8634-ef3623928e94	dislike	26-09-20 11:17	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	negative	10
5575	1987b43d-bcb9-4ab0-8634-ef3623928e94	dislike	14-12-20 18:04	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	negative	10
5576	1987b43d-bcb9-4ab0-8634-ef3623928e94	disgust	30-10-20 20:00	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	negative	0
5577	1987b43d-bcb9-4ab0-8634-ef3623928e94	heart	12-10-20 8:23	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	60
5578	1987b43d-bcb9-4ab0-8634-ef3623928e94	heart	10-04-21 5:12	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	60
5579	1987b43d-bcb9-4ab0-8634-ef3623928e94	love	21-10-20 13:20	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	65
5580	1987b43d-bcb9-4ab0-8634-ef3623928e94	interested	10-04-21 8:26	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	30
5581	1987b43d-bcb9-4ab0-8634-ef3623928e94	adore	29-11-20 17:08	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	72
5582	1987b43d-bcb9-4ab0-8634-ef3623928e94	worried	12-07-20 6:55	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	negative	12
5583	1987b43d-bcb9-4ab0-8634-ef3623928e94	indifferent	09-12-20 19:46	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	neutral	20
5584	1987b43d-bcb9-4ab0-8634-ef3623928e94	love	20-02-21 16:47	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	65
5585	1987b43d-bcb9-4ab0-8634-ef3623928e94	heart	17-11-20 23:24	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	60
5586	1987b43d-bcb9-4ab0-8634-ef3623928e94	worried	22-08-20 13:55	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	negative	12
5587	1987b43d-bcb9-4ab0-8634-ef3623928e94	adore	29-06-20 6:13	0828c4e1-63ec-4121-aa07-eefd37954bb9	photo	education	positive	72
5588	1a69604e-95a0-4b91-8051-f3730b7e009b	super love	29-03-21 10:52	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	75
5589	1a69604e-95a0-4b91-8051-f3730b7e009b	super love	26-09-20 2:28	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	75
5590	1a69604e-95a0-4b91-8051-f3730b7e009b	super love	22-12-20 17:28	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	75
5591	1a69604e-95a0-4b91-8051-f3730b7e009b	like	01-07-20 12:31	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	50
5592	1a69604e-95a0-4b91-8051-f3730b7e009b	like	06-12-20 3:07	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	50
5593	1a69604e-95a0-4b91-8051-f3730b7e009b	super love	13-10-20 10:37	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	75
5594	1a69604e-95a0-4b91-8051-f3730b7e009b	heart	10-04-21 1:01	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	60
5595	1a69604e-95a0-4b91-8051-f3730b7e009b	peeking	23-02-21 18:46	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	neutral	35
5596	1a69604e-95a0-4b91-8051-f3730b7e009b	love	25-04-21 13:01	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	65
5597	1a69604e-95a0-4b91-8051-f3730b7e009b	indifferent	06-04-21 18:44	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	neutral	20
5598	1a69604e-95a0-4b91-8051-f3730b7e009b	interested	28-07-20 0:48	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	30
5599	1a69604e-95a0-4b91-8051-f3730b7e009b	heart	01-03-21 17:36	bcdf88dc-2a52-4716-bc24-a1b46040c8ce	video	fitness	positive	60
5600	3e64dfe3-e832-4352-a170-9806f64ac507	worried	31-10-20 3:59	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	12
5601	3e64dfe3-e832-4352-a170-9806f64ac507	disgust	29-09-20 0:01	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	0
5602	3e64dfe3-e832-4352-a170-9806f64ac507	interested	20-12-20 22:25	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	30
5603	3e64dfe3-e832-4352-a170-9806f64ac507	dislike	28-03-21 5:21	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	10
5604	3e64dfe3-e832-4352-a170-9806f64ac507	scared	21-07-20 16:56	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	15
5605	3e64dfe3-e832-4352-a170-9806f64ac507	love	06-11-20 14:51	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	65
5606	3e64dfe3-e832-4352-a170-9806f64ac507	disgust	16-08-20 22:19	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	0
5607	3e64dfe3-e832-4352-a170-9806f64ac507	disgust	30-01-21 2:58	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	0
5608	3e64dfe3-e832-4352-a170-9806f64ac507	worried	26-05-21 15:41	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	12
5609	3e64dfe3-e832-4352-a170-9806f64ac507	disgust	04-11-20 17:51	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	0
5610	3e64dfe3-e832-4352-a170-9806f64ac507	super love	27-08-20 0:41	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	75
5611	3e64dfe3-e832-4352-a170-9806f64ac507	want	03-01-21 10:02	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	70
5612	3e64dfe3-e832-4352-a170-9806f64ac507	indifferent	09-10-20 7:31	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	neutral	20
5613	3e64dfe3-e832-4352-a170-9806f64ac507	adore	20-06-20 17:24	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	72
5614	3e64dfe3-e832-4352-a170-9806f64ac507	dislike	11-10-20 14:04	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	10
5615	3e64dfe3-e832-4352-a170-9806f64ac507	dislike	24-05-21 12:44	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	10
5616	3e64dfe3-e832-4352-a170-9806f64ac507	disgust	06-12-20 15:11	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	0
5617	3e64dfe3-e832-4352-a170-9806f64ac507	want	27-02-21 14:51	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	70
5618	3e64dfe3-e832-4352-a170-9806f64ac507	like	23-11-20 3:46	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	50
5619	3e64dfe3-e832-4352-a170-9806f64ac507	dislike	01-09-20 1:35	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	10
5620	3e64dfe3-e832-4352-a170-9806f64ac507	hate	25-11-20 21:23	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	5
5621	3e64dfe3-e832-4352-a170-9806f64ac507	indifferent	25-06-20 15:36	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	neutral	20
5622	3e64dfe3-e832-4352-a170-9806f64ac507	worried	03-07-20 8:48	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	negative	12
5623	3e64dfe3-e832-4352-a170-9806f64ac507	heart	21-03-21 1:42	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	60
5624	3e64dfe3-e832-4352-a170-9806f64ac507	like	26-09-20 15:16	15cf4392-8541-422b-8957-a9c0380c11d9	audio	healthy eating	positive	50
5625	30c8a141-2c2e-4272-8854-ff5673509652	interested	12-03-21 18:17	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	30
5626	30c8a141-2c2e-4272-8854-ff5673509652	peeking	20-01-21 7:18	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	neutral	35
5627	30c8a141-2c2e-4272-8854-ff5673509652	interested	08-11-20 16:42	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	30
5628	30c8a141-2c2e-4272-8854-ff5673509652	dislike	11-07-20 14:33	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	negative	10
5629	30c8a141-2c2e-4272-8854-ff5673509652	heart	12-03-21 14:23	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	60
5630	30c8a141-2c2e-4272-8854-ff5673509652	dislike	10-01-21 17:03	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	negative	10
5631	30c8a141-2c2e-4272-8854-ff5673509652	dislike	03-08-20 19:40	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	negative	10
5632	30c8a141-2c2e-4272-8854-ff5673509652	adore	03-01-21 20:32	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	72
5633	30c8a141-2c2e-4272-8854-ff5673509652	hate	25-11-20 6:37	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	negative	5
5634	30c8a141-2c2e-4272-8854-ff5673509652	like	26-05-21 1:22	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	50
5635	30c8a141-2c2e-4272-8854-ff5673509652	like	15-11-20 3:59	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	50
5636	30c8a141-2c2e-4272-8854-ff5673509652	worried	30-05-21 19:03	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	negative	12
5637	30c8a141-2c2e-4272-8854-ff5673509652	scared	31-08-20 0:21	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	negative	15
5638	30c8a141-2c2e-4272-8854-ff5673509652	interested	09-05-21 16:39	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	30
5639	30c8a141-2c2e-4272-8854-ff5673509652	worried	10-11-20 19:47	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	negative	12
5640	30c8a141-2c2e-4272-8854-ff5673509652	adore	03-08-20 19:21	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	72
5641	30c8a141-2c2e-4272-8854-ff5673509652	love	02-10-20 23:02	89572273-761e-46f3-8b99-1689d98aac90	audio	culture	positive	65
5642	d029d393-b80b-4a56-9450-7645ee42da07	like	14-12-20 1:55	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	50
5643	d029d393-b80b-4a56-9450-7645ee42da07	hate	25-01-21 6:17	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	5
5644	d029d393-b80b-4a56-9450-7645ee42da07	hate	28-02-21 9:46	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	5
5645	d029d393-b80b-4a56-9450-7645ee42da07	heart	27-05-21 21:35	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	60
5646	d029d393-b80b-4a56-9450-7645ee42da07	like	10-09-20 17:14	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	50
5647	d029d393-b80b-4a56-9450-7645ee42da07	intrigued	10-09-20 10:44	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	45
5648	d029d393-b80b-4a56-9450-7645ee42da07	adore	26-11-20 20:31	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	72
5649	d029d393-b80b-4a56-9450-7645ee42da07	adore	29-09-20 15:42	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	72
5650	d029d393-b80b-4a56-9450-7645ee42da07	peeking	22-06-20 9:59	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	neutral	35
5651	d029d393-b80b-4a56-9450-7645ee42da07	intrigued	12-07-20 15:08	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	45
5652	d029d393-b80b-4a56-9450-7645ee42da07	hate	31-08-20 0:29	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	5
5653	d029d393-b80b-4a56-9450-7645ee42da07	hate	03-05-21 0:12	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	5
5654	d029d393-b80b-4a56-9450-7645ee42da07	like	26-05-21 6:29	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	50
5655	d029d393-b80b-4a56-9450-7645ee42da07	like	09-05-21 4:35	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	50
5656	d029d393-b80b-4a56-9450-7645ee42da07	want	26-03-21 17:09	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	70
5657	d029d393-b80b-4a56-9450-7645ee42da07	like	18-02-21 13:19	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	50
5658	d029d393-b80b-4a56-9450-7645ee42da07	worried	23-05-21 22:22	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	12
5659	d029d393-b80b-4a56-9450-7645ee42da07	want	07-03-21 20:47	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	70
5660	d029d393-b80b-4a56-9450-7645ee42da07	love	20-06-20 11:22	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	65
5661	d029d393-b80b-4a56-9450-7645ee42da07	hate	14-02-21 6:50	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	5
5662	d029d393-b80b-4a56-9450-7645ee42da07	hate	14-12-20 4:36	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	5
5663	d029d393-b80b-4a56-9450-7645ee42da07	super love	01-03-21 19:22	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	75
5664	d029d393-b80b-4a56-9450-7645ee42da07	want	30-11-20 20:43	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	70
5665	d029d393-b80b-4a56-9450-7645ee42da07	love	09-09-20 19:16	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	65
5666	d029d393-b80b-4a56-9450-7645ee42da07	interested	16-12-20 13:21	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	30
5667	d029d393-b80b-4a56-9450-7645ee42da07	indifferent	23-02-21 5:28	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	neutral	20
5668	d029d393-b80b-4a56-9450-7645ee42da07	want	24-02-21 21:27	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	70
5669	d029d393-b80b-4a56-9450-7645ee42da07	dislike	04-07-20 5:26	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	10
5670	d029d393-b80b-4a56-9450-7645ee42da07	disgust	20-12-20 23:55	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	0
5671	d029d393-b80b-4a56-9450-7645ee42da07	interested	16-02-21 3:14	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	30
5672	d029d393-b80b-4a56-9450-7645ee42da07	scared	01-07-20 1:59	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	negative	15
5673	d029d393-b80b-4a56-9450-7645ee42da07	want	05-01-21 2:01	3956593b-7739-426a-b7a5-e841c95a5df9	video	healthy eating	positive	70
5674	4ce7258e-3777-42b4-af6a-dd8898c42cfd	dislike	26-08-20 23:18	f02267ef-8974-43f5-9a2f-03d2c8ec22ca	photo	travel	negative	10
5675	4ce7258e-3777-42b4-af6a-dd8898c42cfd	like	15-05-21 4:51	f02267ef-8974-43f5-9a2f-03d2c8ec22ca	photo	travel	positive	50
5676	4ce7258e-3777-42b4-af6a-dd8898c42cfd	like	26-02-21 7:43	f02267ef-8974-43f5-9a2f-03d2c8ec22ca	photo	travel	positive	50
5677	4ce7258e-3777-42b4-af6a-dd8898c42cfd	want	25-03-21 18:59	f02267ef-8974-43f5-9a2f-03d2c8ec22ca	photo	travel	positive	70
5678	4ce7258e-3777-42b4-af6a-dd8898c42cfd	love	01-12-20 8:18	f02267ef-8974-43f5-9a2f-03d2c8ec22ca	photo	travel	positive	65
5679	4ce7258e-3777-42b4-af6a-dd8898c42cfd	dislike	14-11-20 22:42	f02267ef-8974-43f5-9a2f-03d2c8ec22ca	photo	travel	negative	10
5680	4ce7258e-3777-42b4-af6a-dd8898c42cfd	hate	05-05-21 22:59	f02267ef-8974-43f5-9a2f-03d2c8ec22ca	photo	travel	negative	5
5681	75747dd7-8dad-4f2f-9209-62765223f3af	disgust	26-12-20 8:11	4bcb2c2e-36ed-4d5d-90a1-440993e9f6d2	photo	fitness	negative	0
